City,Population,Pop2,Violent_crime,Murder_nonneg_nonman,Rape1,Rape2,Robbery,Agg_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson3
Adams Village,1861.00,3463321.00,0.00,0.00,,0.00,0.00,0.00,12.00,2.00,10.00,0.00,0.00
Addison Town and Village,2577.00,6640929.00,3.00,0.00,,0.00,0.00,3.00,24.00,3.00,20.00,1.00,0.00
Akron Village,2846.00,8099716.00,3.00,0.00,,0.00,0.00,3.00,16.00,1.00,15.00,0.00,0.00
Albany,97956.00,9595377936.00,791.00,8.00,,30.00,227.00,526.00,4090.00,705.00,3243.00,142.00,
Albion Village,6388.00,40806544.00,23.00,0.00,,3.00,4.00,16.00,223.00,53.00,165.00,5.00,
Alfred Village,4089.00,16719921.00,5.00,0.00,,0.00,3.00,2.00,46.00,10.00,36.00,0.00,
Allegany Village,1781.00,3171961.00,3.00,0.00,,0.00,0.00,3.00,10.00,0.00,10.00,0.00,0.00
Amherst Town,118296.00,13993943616.00,107.00,1.00,,7.00,31.00,68.00,2118.00,204.00,1882.00,32.00,3.00
Amityville Village,9519.00,90611361.00,9.00,0.00,,2.00,4.00,3.00,210.00,16.00,188.00,6.00,1.00
Amsterdam,18182.00,330585124.00,30.00,0.00,,0.00,12.00,18.00,405.00,99.00,291.00,15.00,0.00
Arcade Village,2053.00,4214809.00,0.00,0.00,,0.00,0.00,0.00,39.00,3.00,35.00,1.00,0.00
Ardsley Village,4523.00,20457529.00,5.00,0.00,,0.00,3.00,2.00,33.00,4.00,28.00,1.00,0.00
Asharoken Village,658.00,432964.00,0.00,0.00,,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00
Attica Village,2522.00,6360484.00,2.00,0.00,,0.00,0.00,2.00,5.00,0.00,4.00,1.00,0.00
Auburn,27270.00,743652900.00,96.00,1.00,,20.00,22.00,53.00,859.00,132.00,721.00,6.00,
Avon Village,3333.00,11108889.00,1.00,0.00,,0.00,1.00,0.00,25.00,3.00,20.00,2.00,
Baldwinsville Village,7473.00,55845729.00,5.00,0.00,,0.00,1.00,4.00,88.00,10.00,77.00,1.00,0.00
Ballston Spa Village,5418.00,29354724.00,8.00,0.00,,0.00,3.00,5.00,94.00,16.00,78.00,0.00,1.00
Batavia,15374.00,236359876.00,57.00,0.00,,7.00,13.00,37.00,559.00,103.00,454.00,2.00,
Bath Village,5733.00,32867289.00,15.00,0.00,,1.00,3.00,11.00,191.00,32.00,157.00,2.00,2.00
Bedford Town,17627.00,310711129.00,5.00,0.00,,0.00,1.00,4.00,156.00,26.00,127.00,3.00,
Bethlehem Town,34243.00,1172583049.00,13.00,0.00,,0.00,3.00,10.00,442.00,50.00,388.00,4.00,
Binghamton,46304.00,2144060416.00,284.00,3.00,,19.00,101.00,161.00,2349.00,525.00,1767.00,57.00,
Black River,1410.00,1988100.00,0.00,0.00,,0.00,0.00,0.00,14.00,2.00,12.00,0.00,0.00
Blooming Grove Town,12001.00,144024001.00,8.00,0.00,,1.00,0.00,7.00,99.00,20.00,72.00,7.00,
Bolivar Village,1022.00,1044484.00,1.00,0.00,,0.00,0.00,1.00,4.00,2.00,2.00,0.00,0.00
Bolton Town,2325.00,5405625.00,2.00,0.00,,0.00,0.00,2.00,24.00,4.00,20.00,0.00,0.00
Boonville Village,2054.00,4218916.00,1.00,0.00,,0.00,0.00,1.00,20.00,6.00,14.00,0.00,0.00
Brant Town,2065.00,4264225.00,4.00,0.00,,0.00,1.00,3.00,31.00,9.00,20.00,2.00,0.00
Brewster,2358.00,5560164.00,0.00,0.00,,0.00,0.00,0.00,13.00,3.00,10.00,0.00,0.00
Briarcliff Manor Village,7976.00,63616576.00,1.00,0.00,,0.00,0.00,1.00,11.00,1.00,10.00,0.00,0.00
Brighton Town,36689.00,1346082721.00,26.00,1.00,,2.00,10.00,13.00,793.00,142.00,623.00,28.00,
Brockport Village,8284.00,68624656.00,23.00,1.00,,1.00,5.00,16.00,165.00,29.00,132.00,4.00,
Bronxville Village,6390.00,40832100.00,0.00,0.00,,0.00,0.00,0.00,47.00,5.00,39.00,3.00,0.00
Brownville Village,1174.00,1378276.00,0.00,0.00,,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00
Buffalo,258789.00,66971746521.00,3249.00,47.00,,145.00,1322.00,1735.00,12491.00,3458.00,8076.00,957.00,
Cairo Town,6577.00,43256929.00,0.00,0.00,,0.00,0.00,0.00,15.00,1.00,14.00,0.00,
Cambridge Village,1854.00,3437316.00,2.00,0.00,,0.00,0.00,2.00,44.00,12.00,31.00,1.00,
Camden Village,2219.00,4923961.00,5.00,0.00,,0.00,0.00,5.00,46.00,4.00,42.00,0.00,0.00
Camillus Town and Village,24165.00,583947225.00,14.00,0.00,,1.00,0.00,13.00,348.00,36.00,307.00,5.00,1.00
Canandaigua,10470.00,109620900.00,22.00,0.00,,0.00,9.00,13.00,315.00,54.00,253.00,8.00,
Canastota Village,4704.00,22127616.00,4.00,0.00,,0.00,0.00,4.00,60.00,8.00,51.00,1.00,
Canisteo Village,2246.00,5044516.00,3.00,0.00,,0.00,1.00,2.00,12.00,3.00,9.00,0.00,0.00
Canton Village,6794.00,46158436.00,3.00,0.00,,0.00,1.00,2.00,93.00,12.00,80.00,1.00,
Cape Vincent Village,762.00,580644.00,0.00,0.00,,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00
Carmel Town,34462.00,1187629444.00,10.00,0.00,,2.00,0.00,8.00,198.00,31.00,158.00,9.00,1.00
Carroll Town,3481.00,12117361.00,0.00,0.00,,0.00,0.00,0.00,8.00,3.00,5.00,0.00,0.00
Carthage Village,3862.00,14915044.00,1.00,0.00,,1.00,0.00,0.00,60.00,12.00,47.00,1.00,
Cattaraugus Village,980.00,960400.00,0.00,0.00,,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00
Cayuga Heights Village,3749.00,14055001.00,1.00,0.00,,0.00,1.00,0.00,59.00,12.00,47.00,0.00,
Cazenovia Village,2732.00,7463824.00,0.00,0.00,,0.00,0.00,0.00,58.00,5.00,52.00,1.00,
